"Testvector";"Feature Group";"Feature";"Testcase";"URL";"Play";"description";"source";"profile";"duration";"mpd_type";"min_update_period";"time_shift_buffer_depth";"num_periods";"max_num_video";"max_num_audio";"multi_resolution_video";"max_video_resolution";"mime_types";"video_codec";"audio_codec";"segment_template";"segment_template_number";"segment_template_time";"segment_template_duration";"segment_timeline";"content_protection_schemeid_uri";"cenc_pssh";"essential_property_schemeid_uri";"base_url";"segment_template_presentation_timeoffset";"urn_mpeg_dash_period_continuity_2014";"utc_timing_schemeid_uri";"inband_event_stream_schemeid_uri";"early_terminated_period";"period_xlink_href";"period_xlink_actuate";"default_content";"asset_identifier";"Bit Depth"
"Test Vector 8";"Standard Defnition";"Multi-Resolution Multi-Rate";"Test Case 1";"http://dash.akamaized.net/dash264/TestCases/2c/qualcomm/2/MultiRes.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCases/2c/qualcomm/2/MultiRes.mpd""";"";"";"urn:mpeg:dash:profile:isoff-live:2011";"PT0H9M54.00S";"static";"";"";"1";"3";"1";"yes";"1280x720";"video/mp4,audio/mp4";"avc1.42c01f";"mp4a.40.29";"yes";"no";"yes";"no";"yes";"";"no";"";"0";"no";"no";"";"";"no";"no";"";"no";"no";"8 (unknown)"
"Test Vector 8";"Standard Defnition";"Multiple Audio Representations";"Test Case 1";"http://dash.akamaized.net/dash264/TestCases/3b/fraunhofer/aac-lc_stereo_with_video/ElephantsDream/elephants_dream_480p_aaclc_stereo_sidx.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCases/3b/fraunhofer/aac-lc_stereo_with_video/ElephantsDream/elephants_dream_480p_aaclc_stereo_sidx.mpd""";"";"";"http://dashif.org/guidelines/dash264,urn:mpeg:dash:profile:isoff-on-demand:2011";"PT653.781333333S";"static";"";"";"1";"1";"5";"no";"854x480";"video/mp4,audio/mp4";"avc1.42c01e";"mp4a.40.2";"no";"";"";"";"no";"";"no";"";"1";"no";"no";"";"";"no";"no";"";"no";"no";"8 (unknown)"
"Test Vector 8";"Standard Defnition";"Dynamic Segment Offering with MPD Update";"Test Case 1";"http://vm2.dashif.org/livesim/scte35_2/testpic_2s/Manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://vm2.dashif.org/livesim/scte35_2/testpic_2s/Manifest.mpd""";"SCTE35 Ad Splice cues 2 times per minute";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-simple,http://dashif.org/guidelines/adin/app";"";"dynamic";"P100Y";"PT5M";"1";"1";"1";"no";"640x360";"audio/mp4,video/mp4";"avc1.64001e";"mp4a.40.2";"yes";"yes";"no";"yes";"no";"";"no";"";"1";"no";"no";"";"urn:scte:scte35:2013:xml";"no";"no";"";"no";"no";"8 (unknown)"
"Test Vector 9";"Standard Defnition";"Single Resolution Multi-Rate";"Test Case 1";"http://dash.akamaized.net/dash264/TestCases/1b/qualcomm/2/MultiRate.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCases/1b/qualcomm/2/MultiRate.mpd""";"";"";"urn:mpeg:dash:profile:isoff-live:2011";"PT0H10M54.00S";"static";"";"";"1";"3";"1";"no";"1280x720";"video/mp4,audio/mp4";"avc1.4d401f";"mp4a.40.29";"yes";"yes";"no";"yes";"no";"";"no";"";"0";"yes";"no";"";"";"no";"no";"";"no";"no";"8 (unknown)"
"Test Vector 9";"Standard Defnition";"Multiple Audio Representations";"Test Case 1";"http://dash.akamaized.net/dash264/TestCases/3b/fraunhofer/aac-lc_stereo_with_video/Sintel/sintel_480p_aaclc_stereo_sidx.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCases/3b/fraunhofer/aac-lc_stereo_with_video/Sintel/sintel_480p_aaclc_stereo_sidx.mpd""";"";"";"http://dashif.org/guidelines/dash264,urn:mpeg:dash:profile:isoff-on-demand:2011";"PT887.957333333S";"static";"";"";"1";"1";"5";"no";"848x368";"video/mp4,audio/mp4";"avc1.42c01e";"mp4a.40.2";"no";"";"";"";"no";"";"no";"";"1";"no";"no";"";"";"no";"no";"";"no";"no";"8 (unknown)"
"Test Vector 9";"Standard Defnition";"Dynamic Segment Offering with MPD Update";"Test Case 1";"http://vm2.dashif.org/livesim/utc_direct-head/testpic_2s/Manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://vm2.dashif.org/livesim/utc_direct-head/testpic_2s/Manifest.mpd""";"UTCTiming in the manifest";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-simple";"";"dynamic";"P100Y";"PT5M";"1";"1";"1";"no";"640x360";"audio/mp4,video/mp4";"avc1.64001e";"mp4a.40.2";"yes";"yes";"no";"yes";"no";"";"no";"";"1";"no";"no";"urn:mpeg:dash:utc:direct:2014,urn:mpeg:dash:utc:http-head:2014";"";"no";"no";"";"no";"no";"8 (unknown)"
"IMSC1";"Subtitles";"IMSC1";"IMSC1";"http://dash.akamaized.net/dash264/CTA/imsc1/IT1-20171027_dash.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/CTA/imsc1/IT1-20171027_dash.mpd""";"Test vector with IMSC1 data";"CTA";"urn:mpeg:dash:profile:isoff-on-demand:2011";"PT0H4M40.414S";"static";"";"";"1";"1";"1";"";"1920x1080";"video/mp4,audio/mp4,application/ttml+xml";"avc1.640028";"mp4a.40.2";"no";"";"";"";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"8 (unknown)"
"10-bit UHD SDR Live profile";"TestCasesIOP33";"UHD SDR";"10-bit UHD SDR Live profile";"http://dash.akamaized.net/dash264/TestCasesUHD/2b/11/MultiRate.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesUHD/2b/11/MultiRate.mpd""";"10-bit UHD SDR Live profile";"https://media.xiph.org/video/derf/meridian/MERIDIAN_SHR_C_EN-XX_US-NR_51_LTRT_UHD_20160909_OV/";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H11M58.998S";"static";"";"";"1";"3";"1";"";"3840x2160";"video/mp4,audio/mp4";"hev1.2.4.L153.90";"mp4a.40.2";"yes";"yes";"no";"119952,95999";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"10"
"10-bit UHD SDR On-demand";"TestCasesIOP33";"UHD SDR";"10-bit UHD SDR On-demand";"http://dash.akamaized.net/dash264/TestCasesUHD/2a/11/MultiRate.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesUHD/2a/11/MultiRate.mpd""";"10-bit UHD SDR On-demand";"https://media.xiph.org/video/derf/meridian/MERIDIAN_SHR_C_EN-XX_US-NR_51_LTRT_UHD_20160909_OV/";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dashif.org/guidelines/dash264";"PT0H11M58.998S";"static";"";"";"1";"3";"1";"";"3840x2160";"video/mp4,audio/mp4";"hev1.2.4.L153.90";"mp4a.40.2";"no";"";"";"";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"10"
"Adaptation set switching set - switching element present";"TestCasesIOP33";"Adaptation set switching";"Switching across adaptation set - With switching element";"http://dash.edgesuite.net/dash264/TestCasesIOP33/adapatationSetSwitching/5/manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesIOP33/adapatationSetSwitching/5/manifest.mpd""";"Different adaptation sets had different video codecs. The descriptor indicates seamless switching is possible.  The switching element is same in all the adaptation sets.";"Tears of steel";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"1";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"avc1.640028,hev1.1.6.L120.90";"mp4a.40.2";"yes";"yes";"no";"24576,95232";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Fallback chaining, Broken URL";"TestCasesIOP33";"MPD Chaining ";"Fallback MPD Chaining";"http://dash.akamaized.net/dash264/TestCasesIOP33/MPDChaining/fallback_chain/1/manifest_fallback_MPDChaining.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesIOP33/MPDChaining/fallback_chain/1/manifest_fallback_MPDChaining.mpd""";"A new MPD (chained-to MPD given by SupplementalProperty) is expected to be played due to error condition triggered by broken URL in the current MPD. ";"Elephants Dream 720p";"urn:mpeg:dash:profile:isoff-live:2011, http://dashif.org/guidelines/dash264";"PT0H10M54.00S";"static";"";"";"1";"2";"1";"no";"1280x720";"video/mp4,audio/mp4";"avc1.4d401f";"mp4a.40.29";"yes";"yes";"no";"yes";"no";"";"no";"";"0";"yes";"no";"";"";"no";"no";"";"no";"no";"8"
"Fallback on termination event";"TestCasesIOP33";"MPD Chaining ";"Fallback MPD Chaining";"http://dash.akamaized.net/dash264/TestCasesIOP33/MPDChaining/fallback_chain/2/manifest_terminationEvent_fallback_MPDChaining.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesIOP33/MPDChaining/fallback_chain/2/manifest_terminationEvent_fallback_MPDChaining.mpd""";"Early end of the MPD due to triggering of Presentation Termination Event and a fallback MPD specified by SupplementalProperty is played.";"Tears of Steel 1080p";"urn:mpeg:dash:profile:isoff-live:2011, http://dashif.org/guidelines/dash264";"PT120S";"static";"";"";"2";"";"";"no";"1920x1080";"video/mp4,audio/mp4";"avc1.640028";"mp4a.40.2";"yes";"yes";"no";"yes";"no";"";"no";"";"0";"no";"no";"";"";"no";"no";"";"no";"no";"8"
"HEVC 4K HDR Single video";"TestCasesIOP33";"HEVC HDR";"HEVC HDR On Demand";"http://dash.akamaized.net/dash264/TestCasesHEVC/1a/5/MultiRate.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesHEVC/1a/5/MultiRate.mpd""";"HEVC 4K HDR Single video";"Nomor";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dash.akamaized.net/dash264/TestCasesHEVC/1a/5/MultiRate.mpd";"PT0H5M";"static";"";"";"1";"1";"1";"";"3840x2160";"video/mp4,audio/mp4";"hev1.2.6.L186.0";"mp4a.40.2";"no";"";"";"";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"10"
"HEVC HDR 4k Live Profile";"TestCasesIOP33";"HEVC HDR";"HEVC HDR Live";"http://dash.akamaized.net/dash264/TestCasesHEVC/1b/5/MultiRate.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesHEVC/1b/5/MultiRate.mpd""";"HEVC HDR 4k Live Profile vector";"Nomor";"urn:mpeg:dash:profile:isoff-live:2011,http://dash.akamaized.net/dash264/TestCasesHEVC/1a/5/MultiRate.mpd";"PT0H5M";"static";"";"";"1";"1";"1";"";"3840x2160";"video/mp4,audio/mp4";"hev1.2.6.L186.0";"mp4a.40.2";"yes";"yes";"no";"30720,96000";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"10"
"HEVC HDR vector, live profile";"TestCasesIOP33";"HEVC HDR";"HEVC HDR Live";"http://dash.akamaized.net/dash264/TestCasesHDR/3b/3/MultiRate.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesHDR/3b/3/MultiRate.mpd""";"HEVC HDR vector, live profile (type static)";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-uhd#hevc-hdr-pq10";"PT0H0M57S";"static";"";"";"1";"3";"0";"";"2048x858";"video/mp4";"hev1.2.4.L153.0";"";"yes";"yes";"no";"2374285";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"10"
"HEVC HDR vector, on-demand profile";"TestCasesIOP33";"HEVC HDR";"HEVC HDR On Demand";"http://dash.akamaized.net/dash264/TestCasesHDR/3a/3/MultiRate.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesHDR/3a/3/MultiRate.mpd""";"HEVC HDR vector, on-demand profile";"";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dashif.org/guidelines/dash-if-uhd#hevc-hdr-pq10";"PT0H0M57.480S";"static";"";"";"1";"3";"0";"";"2048x858";"video/mp4";"hev1.2.4.L153.0";"";"no";"";"";"";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"10"
"Live (static) test vector, same video resolution";"TestCasesIOP33";"UHD SDR";"Live (static) test vector, same video resolution";"http://dash.akamaized.net/dash264/TestCasesUHD/2b/2/MultiRate.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesUHD/2b/2/MultiRate.mpd""";"Live (static) test vector, same video resolution, 5 different bitrates (8 to 35 Mbps), 1 second segment duration";"Tears of Steel 4k";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-uhd#4k";"PT0H12M12S";"static";"";"";"1";"5";"1";"";"3840x1714";"video/mp4,audio/mp4";"hev1.1.6.L156.90,hev1.1.6.L153.90,hev1.1.6.L150.90";"mp4a.40.2";"yes";"yes";"no";"12288,47999";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"8"
"Live (static) test vector, same video resolution";"TestCasesIOP33";"UHD SDR";"Live (static) test vector, same video resolution";"http://dash.akamaized.net/dash264/TestCasesUHD/2b/3/MultiRate.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesUHD/2b/3/MultiRate.mpd""";"Live (static) test vector, same video resolution, 5 different bitrates (8 to 35 Mbps), 2 second segment duration";"Tears of Steel 4k";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-uhd#hevc-4k";"PT0H12M12S";"static";"";"";"1";"5";"1";"";"3840x1714";"video/mp4,audio/mp4";"hev1.1.6.L156.90,hev1.1.6.L153.90,hev1.1.6.L150.90";"mp4a.40.2";"yes";"yes";"no";"24576,95999";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"8"
"Live (static) test vector, same video resolution";"TestCasesIOP33";"UHD SDR";"Live (static) test vector, same video resolution";"http://dash.akamaized.net/dash264/TestCasesUHD/2b/4/MultiRate.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesUHD/2b/4/MultiRate.mpd""";"Live (static) test vector, same video resolution, 5 different bitrates (8 to 40 Mbps), 4 second segment duration";"Tears of Steel 4k";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-uhd#hevc-4k";"PT0H12M12S";"static";"";"";"1";"5";"1";"";"3840x1714";"video/mp4,audio/mp4";"hev1.1.6.L156.90,hev1.1.6.L153.90,hev1.1.6.L150.90";"mp4a.40.2";"yes";"yes";"no";"49152,191997";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"8"
"Negative test case";"TestCasesIOP33";"Adaptation set switching";"Switching across adaptation set - Different video codecs";"http://dash.edgesuite.net/dash264/TestCasesIOP33/adapatationSetSwitching/2/manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesIOP33/adapatationSetSwitching/2/manifest.mpd""";"Although two adaptation sets exists, where seamless switching is possible. The seamless switching property is not indicated, since the description is missing in the .mpd.";"Tears of Steel";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"1";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"avc1.640028,hev1.1.6.L120.90";"mp4a.40.2";"yes";"yes";"no";"24576,95232";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Negative test case";"TestCasesIOP33";"Adaptation set switching";"Switching across adaptation sets - Different audio codecs";"http://dash.edgesuite.net/dash264/TestCasesIOP33/adapatationSetSwitching/4/manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesIOP33/adapatationSetSwitching/4/manifest.mpd""";"Although two adaptation sets exists, where seamless switching is possible. The seamless switching property is not indicated, since the description is missing in the .mpd.";"Tears of Steel";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"1";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"avc1.640028";"mp4a.40.2";"yes";"yes";"no";"24576,95232,96000";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"On Demand, Single (UHD) video resolution";"TestCasesIOP33";"UHD SDR";"On Demand, Single video resolution";"http://dash.akamaized.net/dash264/TestCasesUHD/2a/5/MultiRate.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesUHD/2a/5/MultiRate.mpd""";"On Demand, Single (UHD) video resolution, 5 different bitrates from 8 to 40 Mbps";"Tears of Steel 4k";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dashif.org/guidelines/dash-if-uhd#4k";"PT0H12M12S";"static";"";"";"1";"5";"1";"";"3840x1714";"video/mp4,audio/mp4";"hev1.1.6.L156.90,hev1.1.6.L153.90,hev1.1.6.L150.90";"mp4a.40.2";"no";"";"";"";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"8"
"Positive test case";"TestCasesIOP33";"Adaptation set switching";"Switching across adaptation set - Different video codecs";"http://dash.edgesuite.net/dash264/TestCasesIOP33/adapatationSetSwitching/1/manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesIOP33/adapatationSetSwitching/1/manifest.mpd""";"Different adaptation sets had different video codecs. The descriptor indicates seamless switching is possible.";"Tears of Steel";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"1";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"avc1.640028,hev1.1.6.L120.90";"mp4a.40.2";"yes";"yes";"no";"24576,95232";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Positive test case";"TestCasesIOP33";"Adaptation set switching";"Switching across adaptation sets - Different audio codecs";"http://dash.edgesuite.net/dash264/TestCasesIOP33/adapatationSetSwitching/3/manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesIOP33/adapatationSetSwitching/3/manifest.mpd""";"Different adaptation sets had audio video codecs. The descriptor indicates seamless switching is possible.";"Tears of Steel";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"1";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"avc1.640028";"mp4a.40.2";"yes";"yes";"no";"24576,95232,96000";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Regular chaining, Live";"TestCasesIOP33";"MPD Chaining ";"Regular MPD chaining";"http://dash.akamaized.net/dash264/TestCasesIOP33/MPDChaining/regular_chain/1/manifest_regular_MPDChaining_live.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesIOP33/MPDChaining/regular_chain/1/manifest_regular_MPDChaining_live.mpd""";"Live profile, SupplementalProperty is present and @value points to the chained-to MPD, which would be played after the current MPD";"Elephants Dream 720p";"urn:mpeg:dash:profile:isoff-live:2011, http://dashif.org/guidelines/dash264";"PT0H10M54.00S";"static";"";"";"1";"2";"1";"no";"1280x720";"video/mp4,audio/mp4";"avc1.4d401f";"mp4a.40.29";"yes";"yes";"no";"yes";"no";"";"no";"";"0";"yes";"no";"";"";"no";"no";"";"no";"no";"8 "
"Regular MPD Chaining, On-Demand";"TestCasesIOP33";"MPD Chaining ";"Regular MPD chaining";"http://dash.akamaized.net/dash264/TestCasesIOP33/MPDChaining/regular_chain/2/manifest_regular_MPDChaining_OnDemand.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesIOP33/MPDChaining/regular_chain/2/manifest_regular_MPDChaining_OnDemand.mpd""";"OnDemand profile, SupplementalProperty is present and @value points to the chained-to MPD, which would be played after the current MPD";"Tears of Steel 720p";"urn:mpeg:dash:profile:isoff-on-demand:2011,http://dashif.org/guidelines/dash264,http://dashif.org/guidelines/dash-if-simple";"PT0H12M14.17S";"static";"";"";"1";"2";"1";"";"1280x720";"video/mp4,audio/mp4";"hev1.1.6.L93.90";"mp4a.40.29";"no";"";"";"";"";"";"no";"";"";"";"";"";"";"no";"no";"";"no";"no";"8"
"Test Vector 1";"TestCasesIOP33";"Resolve to zero";"Test Case 1 ";"http://dash.edgesuite.net/dash264/TestCasesIOP33/resolveToZero/1/manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesIOP33/resolveToZero/1/manifest.mpd""";"Manifest has three periods. The second period is a resolve to zero period.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT704S";"static";"x";"x";"3";"3";"1";"";"1280x720";"video/mp4,audio/mp4";"avc1.4d401f";"mp4a.40.29";"yes";"yes";"no";"24576,94175";"";"x";"no";"x";"";"1024,3073024,11964416";"";"x";"x";"no";"yes";"onLoad";"no";"yes";"8 (unknown)"
"Test Vector 1";"TestCasesIOP33";"User cases for multiple periods";"Add/Remove representation";"http://dash.edgesuite.net/dash264/TestCasesIOP33/multiplePeriods/1/manifest_multiple_Periods_Add_Remove_Representation.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesIOP33/multiplePeriods/1/manifest_multiple_Periods_Add_Remove_Representation.mpd""";"Three periods present in manifest. In second period, a representation is remove. The same representation is added again in the third period.";"";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"3";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"avc1.640028";"mp4a.40.2";"yes";"yes";"no";"24576,95232";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Test Vector 1";"TestCasesIOP33";"POSIX prefix";"Play from now";"http://vm2.dashif.org/livesim/testpic_2s/Manifest.mpd#t=posix:now";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://vm2.dashif.org/livesim/testpic_2s/Manifest.mpd#t=posix:now""";"Play content from now.";"Tears of steel";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-simple";"x";"dynamic";"P100Y";"PT5M";"1";"1";"1";"";"640x360";"audio/mp4,video/mp4";"avc1.64001e";"mp4a.40.2";"yes";"yes";"no";"2";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Test Vector 1";"TestCasesIOP33";"Mpd call back event";"Test Case 1 ";"http://vm2.dashif.org/livesim/periods_60/mpdcallback_30/testpic_2s/Manifest.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://vm2.dashif.org/livesim/periods_60/mpdcallback_30/testpic_2s/Manifest.mpd""";"Callback event is signalled in the MPD by adding a EventStream element at the period level. This creates 60 periods per hour, out of which 30 periods per hour have mpdcallback eventstreams at the period level.";"Live simulator content";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash-if-simple";"x";"dynamic";"PT25S";"PT5M";"6";"1";"1";"";"640x360";"audio/mp4,video/mp4";"avc1.64001e";"mp4a.40.2";"yes";"yes";"no";"2";"";"x";"no";"x";"";"1487263980,1487264040,1487264100,1487264160,1487264220,1487264280";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Test Vector 1";"TestCasesIOP33";"Mpd call back event";"Test Case 1 ";"http://dash.akamaized.net/dash264/TestCasesMCA/fraunhofer/MPEGH_Stereo_lc_mha1/1/Sintel/sintel_audio_video_mpegh_mha1_stereo_sidx.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.akamaized.net/dash264/TestCasesMCA/fraunhofer/MPEGH_Stereo_lc_mha1/1/Sintel/sintel_audio_video_mpegh_mha1_stereo_sidx.mpd""";"";"";"http://dashif.org/guidelines/dash264,urn:mpeg:dash:profile:isoff-on-demand:2011";"PT888.021333333S";"static";"x";"x";"1";"1";"4";"";"848x368";"video/mp4,audio/mp4";"avc1.42c01e";"mha1.0x0B";"no";"x";"x";"x";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Test Vector 1 ";"TestCasesIOP33";"User cases for multiple periods";"Add/Remove an adaptation set";"http://dash.edgesuite.net/dash264/TestCasesIOP33/multiplePeriods/2/manifest_multiple_Periods_Add_Remove_AdaptationSet.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesIOP33/multiplePeriods/2/manifest_multiple_Periods_Add_Remove_AdaptationSet.mpd""";"Three periods present, adaptation sets are removed and added over multiple periods.";"Tears of steel";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"3";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"avc1.640028,hev1.1.6.L120.90";"mp4a.40.2";"yes";"yes";"no";"24576,95232";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
"Test Vector 1 ";"TestCasesIOP33";"User cases for multiple periods";"Multiple CDN offering";"http://dash.edgesuite.net/dash264/TestCasesIOP33/multiplePeriods/3/manifest_multiple_Periods_Content_Offering_CDN.mpd";"""http://reference.dashif.org/dash.js/latest/samples/dash-if-reference-player/index.html?mpd=http://dash.edgesuite.net/dash264/TestCasesIOP33/multiplePeriods/3/manifest_multiple_Periods_Content_Offering_CDN.mpd""";"Different periods are offered from different CDN providers.";"Tears of Steel";"urn:mpeg:dash:profile:isoff-live:2011,http://dashif.org/guidelines/dash264";"PT0H12M14.167S";"static";"x";"x";"3";"2";"1";"";"1920x1080";"video/mp4,audio/mp4";"avc1.640028";"mp4a.40.2";"yes";"yes";"no";"24576,95232";"";"x";"no";"x";"";"x";"";"x";"x";"no";"no";"x";"no";"no";"8 (unknown)"
